DATE	COMPNFB_LOG	COMPRNFB_LOG	ECIBEN_LOG	ECICOM_LOG	ECIWAG_LOG	HOANBS_LOG	IPDNBS_LOG	OPHNFB_LOG	OUTNFB_LOG
1947-01-01	1.98169	3.77666				3.98915	2.92906	3.59704	2.98102
1947-04-01	1.99837	3.77920				3.98922	2.94286	3.62116	3.00524
1947-07-01	2.01982	3.77913				3.99192	2.98639	3.59262	2.97935
1947-10-01	2.04446	3.77584				4.00163	2.98239	3.63302	3.02946
1948-01-01	2.06939	3.77982				4.00799	3.00052	3.63740	3.04023
1948-04-01	2.08368	3.77826				4.00746	3.01656	3.63669	3.03898
1948-07-01	2.10535	3.78326				4.01454	3.03563	3.63811	3.04747
1948-10-01	2.11830	3.80540				4.00524	3.04960	3.64333	3.04338
1949-01-01	2.12298	3.81962				3.98826	3.04319	3.65356	3.03663
1949-04-01	2.12022	3.81791				3.97139	3.03312	3.66387	3.03009
1949-07-01	2.12465	3.83081				3.96083	3.03023	3.68803	3.04371
1949-10-01	2.12418	3.83272				3.95682	3.02665	3.68203	3.03370
1950-01-01	2.14955	3.86119				3.96454	3.02994	3.71603	3.07537
1950-04-01	2.16780	3.87187				3.98893	3.03447	3.72735	3.11111
1950-07-01	2.18695	3.87274				4.01998	3.04500	3.74965	3.16446
1950-10-01	2.21474	3.88049				4.02915	3.06568	3.75122	3.17517
1951-01-01	2.23847	3.86449				4.04582	3.09290	3.75338	3.19405
1951-04-01	2.25790	3.87418				4.05384	3.10615	3.75049	3.19916
1951-07-01	2.27264	3.88941				4.04391	3.11218	3.77315	3.21189
1951-10-01	2.28656	3.88869				4.04437	3.11897	3.77529	3.21451
1952-01-01	2.30048	3.89878				4.05079	3.11998	3.77950	3.22510
1952-04-01	2.30857	3.90427				4.04664	3.12042	3.77776	3.21924
1952-07-01	2.31747	3.90637				4.05380	3.13079	3.77320	3.22183
1952-10-01	2.34267	3.93051				4.08021	3.13884	3.79232	3.26736
1953-01-01	2.35442	3.94507				4.09054	3.14035	3.80004	3.28541
1953-04-01	2.36762	3.95451				4.09229	3.14622	3.80283	3.28993
1953-07-01	2.37834	3.96068				4.08226	3.14935	3.80753	3.28463
1953-10-01	2.38711	3.96768				4.06639	3.15103	3.80323	3.26446
1954-01-01	2.39589	3.97410				4.05286	3.15453	3.80479	3.25250
1954-04-01	2.39699	3.97680				4.04529	3.15538	3.81229	3.25243
1954-07-01	2.40487	3.98730				4.04138	3.15432	3.83010	3.26629
1954-10-01	2.41448	4.00007				4.05384	3.15798	3.84214	3.29079
1955-01-01	2.42223	4.00637				4.06983	3.16315	3.86092	3.32558
1955-04-01	2.43247	4.01802				4.08276	3.16704	3.86369	3.34131
1955-07-01	2.44469	4.02954				4.09309	3.17680	3.86749	3.35543
1955-10-01	2.45685	4.03866				4.10515	3.18602	3.86395	3.36391
1956-01-01	2.47233	4.05401				4.11120	3.19536	3.85098	3.35700
1956-04-01	2.49147	4.06660				4.11336	3.20169	3.85505	3.36325
1956-07-01	2.50683	4.07166				4.10936	3.21402	3.85484	3.35902
1956-10-01	2.52333	4.07965				4.11488	3.21996	3.86535	3.37506
1957-01-01	2.53766	4.08577				4.11578	3.23183	3.87681	3.38740
1957-04-01	2.54757	4.08719				4.11364	3.23762	3.87316	3.38164
1957-07-01	2.56071	4.09147				4.10879	3.24255	3.88738	3.39101
1957-10-01	2.57406	4.10000				4.08787	3.24513	3.89043	3.37314
1958-01-01	2.57787	4.09201				4.06497	3.24921	3.87569	3.33548
1958-04-01	2.58618	4.09363				4.05051	3.24999	3.89480	3.34014
1958-07-01	2.60002	4.10807				4.06235	3.25490	3.91376	3.37094
1958-10-01	2.61029	4.11726				4.07718	3.25936	3.93033	3.40236
1959-01-01	2.61856	4.12385				4.09634	3.26251	3.93284	3.42400
1959-04-01	2.62865	4.13223				4.11529	3.26377	3.94569	3.45581
1959-07-01	2.63541	4.13379				4.11235	3.26633	3.94499	3.45218
1959-10-01	2.64504	4.13740				4.11250	3.27170	3.94284	3.45018
1960-01-01	2.66591	4.15737				4.11865	3.27276	3.96602	3.47952
1960-04-01	2.67180	4.15726				4.12042	3.27537	3.95190	3.46714
1960-07-01	2.67745	4.16238				4.11474	3.27959	3.95384	3.46339
1960-10-01	2.68177	4.16027				4.10540	3.28245	3.94125	3.44151
1961-01-01	2.69070	4.16716				4.09978	3.28365	3.95324	3.44786
1961-04-01	2.70471	4.18152				4.09744	3.28545	3.98153	3.47380
1961-07-01	2.71211	4.18502				4.10330	3.28653	3.99478	3.49289
1961-10-01	2.71925	4.19070				4.11593	3.28676	4.00451	3.51527
1962-01-01	2.73534	4.20290				4.11959	3.29175	4.02102	3.53544
1962-04-01	2.74187	4.20568				4.13145	3.29495	4.01978	3.54605
1962-07-01	2.74874	4.20972				4.12936	3.29643	4.03247	3.55666
1962-10-01	2.75811	4.21668				4.12296	3.29721	4.03910	3.55689
1963-01-01	2.76776	4.22313				4.12904	3.29972	4.04496	3.56883
1963-04-01	2.77296	4.22645				4.13534	3.30031	4.05456	3.58474
1963-07-01	2.78316	4.23055				4.13804	3.30101	4.07475	3.60762
1963-10-01	2.79459	4.23928				4.14578	3.30634	4.07550	3.61612
1964-01-01	2.79386	4.23448				4.16418	3.30868	4.08540	3.64440
1964-04-01	2.80481	4.24381				4.16852	3.31226	4.09172	3.65506
1964-07-01	2.81792	4.25463				4.17491	3.31713	4.09935	3.66908
1964-10-01	2.82530	4.25743				4.18457	3.32096	4.08948	3.66888
1965-01-01	2.82926	4.25830				4.20007	3.32439	4.10382	3.69873
1965-04-01	2.83592	4.25859				4.20993	3.32558	4.10971	3.71447
1965-07-01	2.84630	4.26600				4.21229	3.32959	4.12733	3.73445
1965-10-01	2.86100	4.27543				4.22171	3.33249	4.14599	3.76255
1966-01-01	2.87836	4.28348				4.23605	3.33552	4.15960	3.79049
1966-04-01	2.89398	4.29012				4.24581	3.34625	4.15298	3.79362
1966-07-01	2.90816	4.29567				4.25048	3.35397	4.15436	3.79966
1966-10-01	2.92166	4.30102				4.24778	3.36578	4.16110	3.80370
