date	dLP	dY	dk	dhours	dLQ_BLS_interpolated	dLQ_Aaronson_Sullivan	dLQ	alpha	dtfp	dutil	dtfp_util	relativePrice	invShare	dtfp_I	dtfp_C	du_invest	du_consumption	dtfp_I_util	dtfp_C_util
1947_Q2	2.20	1.62	4.14	-0.58	0.47		0.47	0.31	0.39	0.83	-0.44	-4.74	0.18	-3.47	1.27	-0.22	1.07	-3.25	0.20
1947_Q3	-3.01	0.10	3.55	3.11	0.45		0.45	0.31	-3.46	0.85	-4.30	5.64	0.18	1.17	-4.47	0.31	0.96	0.85	-5.44
1947_Q4	4.80	7.84	3.30	3.04	0.43		0.43	0.31	4.42	0.09	4.33	5.50	0.19	8.90	3.40	0.26	0.05	8.65	3.35
1948_Q1	9.22	7.17	3.99	-2.06	0.41		0.41	0.31	7.05	-1.58	8.62	4.87	0.19	11.01	6.14	-0.87	-1.74	11.89	7.88
1948_Q2	8.85	9.00	4.29	0.15	0.30		0.30	0.31	7.35	-3.81	11.15	-4.35	0.18	3.77	8.13	-3.06	-3.97	6.84	12.10
1948_Q3	-1.90	1.77	4.76	3.67	0.20		0.20	0.31	-2.38	-5.85	3.47	-9.42	0.18	-10.07	-0.65	-5.64	-5.89	-4.43	5.24
1948_Q4	2.56	0.00	4.69	-2.56	0.09		0.09	0.31	0.23	-6.76	6.98	-4.92	0.19	-3.78	1.14	-7.48	-6.59	3.70	7.73
1949_Q1	-1.25	-6.89	3.42	-5.64	-0.02		-0.02	0.31	-4.08	-5.83	1.75	-2.03	0.18	-5.74	-3.71	-7.44	-5.47	1.70	1.76
1949_Q2	1.52	-2.13	1.88	-3.65	0.26		0.26	0.32	-0.40	-2.96	2.55	-2.73	0.19	-2.61	0.12	-4.91	-2.49	2.30	2.61
1949_Q3	11.69	5.12	2.42	-6.57	0.53		0.53	0.32	8.47	1.21	7.26	0.08	0.19	8.53	8.45	-0.26	1.55	8.79	6.90
1949_Q4	0.83	-4.30	1.39	-5.13	0.81		0.81	0.32	-1.81	5.40	-7.21	0.49	0.20	-1.41	-1.90	5.22	5.44	-6.64	-7.35
1950_Q1	17.76	18.97	2.03	1.21	1.09		1.09	0.32	16.76	8.21	8.55	-1.45	0.19	15.59	17.04	9.70	7.85	5.89	9.18
1950_Q2	4.15	12.94	2.33	8.79	0.84		0.84	0.32	5.68	9.03	-3.35	-2.21	0.20	3.91	6.12	11.57	8.42	-7.66	-2.30
1950_Q3	6.58	16.74	3.22	10.16	0.59		0.59	0.32	8.44	6.94	1.49	2.58	0.22	10.44	7.86	10.14	6.03	0.30	1.83
1950_Q4	1.86	4.29	5.04	2.42	0.34		0.34	0.32	0.78	3.08	-2.30	-0.99	0.20	-0.01	0.98	5.99	2.35	-6.00	-1.37
1951_Q1	0.15	4.23	4.52	4.08	0.10		0.10	0.32	-0.06	-0.99	0.93	-0.73	0.20	-0.64	0.09	0.76	-1.43	-1.40	1.51
1951_Q2	1.85	3.91	4.69	2.05	0.12		0.12	0.32	0.93	-3.92	4.85	-0.12	0.18	0.83	0.95	-3.52	-4.01	4.35	4.96
1951_Q3	11.37	6.59	4.20	-4.79	0.14		0.14	0.32	8.44	-4.31	12.75	0.40	0.18	8.77	8.37	-5.30	-4.10	14.07	12.46
1951_Q4	-1.48	-0.11	3.51	1.37	0.16		0.16	0.31	-2.26	-2.32	0.06	1.02	0.17	-1.42	-2.44	-4.22	-1.92	2.80	-0.52
1952_Q1	1.57	3.38	3.49	1.82	0.18		0.18	0.31	0.93	0.86	0.07	-3.32	0.18	-1.81	1.51	-1.20	1.30	-0.61	0.21
1952_Q2	3.45	-0.72	2.33	-4.16	0.35		0.35	0.30	1.22	3.54	-2.32	3.51	0.18	4.11	0.60	1.93	3.89	2.18	-3.30
1952_Q3	1.11	2.40	3.44	1.29	0.52		0.52	0.30	0.10	4.09	-3.99	0.48	0.16	0.51	0.02	3.34	4.23	-2.83	-4.21
1952_Q4	5.73	15.36	2.53	9.63	0.69		0.69	0.30	7.38	2.00	5.38	8.54	0.17	14.42	5.89	2.06	1.98	12.37	3.90
1953_Q1	6.13	8.12	2.91	1.99	0.85		0.85	0.30	5.26	-2.02	7.28	-2.86	0.18	2.91	5.78	-1.56	-2.12	4.47	7.90
1953_Q2	3.49	2.94	3.18	-0.56	0.86		0.86	0.30	1.78	-6.28	8.06	-0.73	0.18	1.18	1.91	-5.98	-6.35	7.16	8.26
1953_Q3	-0.05	-3.58	2.89	-3.53	0.86		0.86	0.30	-2.56	-8.92	6.35	3.15	0.18	0.02	-3.13	-9.19	-8.86	9.21	5.73
1953_Q4	-1.26	-7.92	2.49	-6.66	0.86		0.86	0.30	-4.61	-8.67	4.06	0.86	0.18	-3.91	-4.76	-9.62	-8.46	5.72	3.70
1954_Q1	-0.18	-2.67	2.41	-2.50	0.87		0.87	0.30	-2.26	-5.50	3.24	-3.25	0.17	-4.95	-1.70	-6.89	-5.21	1.95	3.51
1954_Q2	5.65	0.10	2.07	-5.55	0.66		0.66	0.31	2.87	-0.57	3.44	4.23	0.18	6.35	2.13	-1.94	-0.27	8.29	2.40
1954_Q3	6.20	4.67	2.02	-1.53	0.45		0.45	0.31	4.80	4.14	0.66	6.14	0.18	9.86	3.72	3.42	4.29	6.44	-0.57
1954_Q4	6.11	8.91	2.31	2.81	0.24		0.24	0.31	6.09	7.06	-0.97	0.85	0.18	6.79	5.94	7.29	7.01	-0.50	-1.07
1955_Q1	5.83	13.18	2.70	7.35	0.04		0.04	0.31	7.25	7.41	-0.16	1.61	0.18	8.56	6.96	8.55	7.16	0.01	-0.20
1955_Q2	3.41	7.58	2.98	4.17	0.06		0.06	0.31	3.74	5.44	-1.70	-0.97	0.19	2.95	3.92	7.26	5.02	-4.31	-1.09
1955_Q3	-0.52	5.50	3.38	6.02	0.08		0.08	0.31	0.24	2.59	-2.35	-2.75	0.20	-1.97	0.78	4.48	2.13	-6.45	-1.35
1955_Q4	-2.59	1.88	3.92	4.47	0.11		0.11	0.31	-2.49	0.09	-2.58	-1.92	0.19	-4.04	-2.12	1.66	-0.29	-5.70	-1.83
1956_Q1	-1.78	-2.85	3.91	-1.07	0.13		0.13	0.31	-3.39	-1.18	-2.21	0.35	0.19	-3.11	-3.45	-0.11	-1.43	-3.00	-2.02
1956_Q2	1.99	3.09	3.41	1.11	0.22		0.22	0.30	1.14	-1.22	2.35	0.69	0.19	1.70	1.01	-0.60	-1.36	2.30	2.36
1956_Q3	-0.06	-1.71	3.32	-1.65	0.30		0.30	0.30	-1.78	-0.69	-1.09	-3.55	0.19	-4.66	-1.12	-0.44	-0.75	-4.22	-0.37
