Series Id	Year	Period	Value
PRS85006013	1947	Q01	38.536
PRS85006013	1947	Q02	38.705
PRS85006013	1947	Q03	38.993
PRS85006013	1947	Q04	39.302
PRS85006013	1948	Q01	39.499
PRS85006013	1948	Q02	39.608
PRS85006013	1948	Q03	40.007
PRS85006013	1948	Q04	39.782
PRS85006013	1949	Q01	39.146
PRS85006013	1949	Q02	38.644
PRS85006013	1949	Q03	38.382
PRS85006013	1949	Q04	38.18
PRS85006013	1950	Q01	38.286
PRS85006013	1950	Q02	39.133
PRS85006013	1950	Q03	40.176
PRS85006013	1950	Q04	40.503
PRS85006013	1951	Q01	41.129
PRS85006013	1951	Q02	41.471
PRS85006013	1951	Q03	41.29
PRS85006013	1951	Q04	41.344
PRS85006013	1952	Q01	41.416
PRS85006013	1952	Q02	41.477
PRS85006013	1952	Q03	41.702
PRS85006013	1952	Q04	42.68
PRS85006013	1953	Q01	43.126
PRS85006013	1953	Q02	43.287
PRS85006013	1953	Q03	43.207
PRS85006013	1953	Q04	42.629
PRS85006013	1954	Q01	42.133
PRS85006013	1954	Q02	41.78
PRS85006013	1954	Q03	41.68
PRS85006013	1954	Q04	41.996
PRS85006013	1955	Q01	42.473
PRS85006013	1955	Q02	42.958
PRS85006013	1955	Q03	43.396
PRS85006013	1955	Q04	43.826
PRS85006013	1956	Q01	44.245
PRS85006013	1956	Q02	44.514
PRS85006013	1956	Q03	44.322
PRS85006013	1956	Q04	44.489
PRS85006013	1957	Q01	44.682
PRS85006013	1957	Q02	44.884
PRS85006013	1957	Q03	44.775
PRS85006013	1957	Q04	44.243
PRS85006013	1958	Q01	43.313
PRS85006013	1958	Q02	42.641
PRS85006013	1958	Q03	42.948
PRS85006013	1958	Q04	43.376
PRS85006013	1959	Q01	44.063
PRS85006013	1959	Q02	44.768
PRS85006013	1959	Q03	44.774
PRS85006013	1959	Q04	44.888
PRS85006013	1960	Q01	45.266
PRS85006013	1960	Q02	45.322
PRS85006013	1960	Q03	45.019
PRS85006013	1960	Q04	44.788
PRS85006013	1961	Q01	44.625
PRS85006013	1961	Q02	44.538
PRS85006013	1961	Q03	44.735
PRS85006013	1961	Q04	45.131
PRS85006013	1962	Q01	45.412
PRS85006013	1962	Q02	45.739
PRS85006013	1962	Q03	45.664
