Series Id	Year	Period	Value
PRS85006043	1947	Q01	12.164
PRS85006043	1947	Q02	12.462
PRS85006043	1947	Q03	12.144
PRS85006043	1947	Q04	12.768
PRS85006043	1948	Q01	12.906
PRS85006043	1948	Q02	12.89
PRS85006043	1948	Q03	13
PRS85006043	1948	Q04	12.947
PRS85006043	1949	Q01	12.86
PRS85006043	1949	Q02	12.776
PRS85006043	1949	Q03	12.951
PRS85006043	1949	Q04	12.822
PRS85006043	1950	Q01	13.368
PRS85006043	1950	Q02	13.854
PRS85006043	1950	Q03	14.613
PRS85006043	1950	Q04	14.771
PRS85006043	1951	Q01	15.052
PRS85006043	1951	Q02	15.129
PRS85006043	1951	Q03	15.323
PRS85006043	1951	Q04	15.363
PRS85006043	1952	Q01	15.527
PRS85006043	1952	Q02	15.436
PRS85006043	1952	Q03	15.476
PRS85006043	1952	Q04	16.197
PRS85006043	1953	Q01	16.492
PRS85006043	1953	Q02	16.567
PRS85006043	1953	Q03	16.479
PRS85006043	1953	Q04	16.15
PRS85006043	1954	Q01	15.958
PRS85006043	1954	Q02	15.957
PRS85006043	1954	Q03	16.18
PRS85006043	1954	Q04	16.581
PRS85006043	1955	Q01	17.168
PRS85006043	1955	Q02	17.44
PRS85006043	1955	Q03	17.688
PRS85006043	1955	Q04	17.839
PRS85006043	1956	Q01	17.716
PRS85006043	1956	Q02	17.827
PRS85006043	1956	Q03	17.752
PRS85006043	1956	Q04	18.039
PRS85006043	1957	Q01	18.263
PRS85006043	1957	Q02	18.158
PRS85006043	1957	Q03	18.329
PRS85006043	1957	Q04	18.004
PRS85006043	1958	Q01	17.339
PRS85006043	1958	Q02	17.42
PRS85006043	1958	Q03	17.965
PRS85006043	1958	Q04	18.538
PRS85006043	1959	Q01	18.944
PRS85006043	1959	Q02	19.556
PRS85006043	1959	Q03	19.485
PRS85006043	1959	Q04	19.446
PRS85006043	1960	Q01	20.025
PRS85006043	1960	Q02	19.779
PRS85006043	1960	Q03	19.705
PRS85006043	1960	Q04	19.278
PRS85006043	1961	Q01	19.401
PRS85006043	1961	Q02	19.911
PRS85006043	1961	Q03	20.295
PRS85006043	1961	Q04	20.754
PRS85006043	1962	Q01	21.177
PRS85006043	1962	Q02	21.403
PRS85006043	1962	Q03	21.631
PRS85006043	1962	Q04	21.636
PRS85006043	1963	Q01	21.896
PRS85006043	1963	Q02	22.247
PRS85006043	1963	Q03	22.762
PRS85006043	1963	Q04	22.956
PRS85006043	1964	Q01	23.615
PRS85006043	1964	Q02	23.868
PRS85006043	1964	Q03	24.205
PRS85006043	1964	Q04	24.2
PRS85006043	1965	Q01	24.933
PRS85006043	1965	Q02	25.329
PRS85006043	1965	Q03	25.84
PRS85006043	1965	Q04	26.576
PRS85006043	1966	Q01	27.329
PRS85006043	1966	Q02	27.415
PRS85006043	1966	Q03	27.581
PRS85006043	1966	Q04	27.693
PRS85006043	1967	Q01	27.88
PRS85006043	1967	Q02	27.812
PRS85006043	1967	Q03	28.001
PRS85006043	1967	Q04	28.219
PRS85006043	1968	Q01	28.903
PRS85006043	1968	Q02	29.461
PRS85006043	1968	Q03	29.646
PRS85006043	1968	Q04	29.772
PRS85006043	1969	Q01	30.291
PRS85006043	1969	Q02	30.321
PRS85006043	1969	Q03	30.493
PRS85006043	1969	Q04	30.265
PRS85006043	1970	Q01	30.234
PRS85006043	1970	Q02	30.292
PRS85006043	1970	Q03	30.602
PRS85006043	1970	Q04	30.11
PRS85006043	1971	Q01	31.152
PRS85006043	1971	Q02	31.355
PRS85006043	1971	Q03	31.634
PRS85006043	1971	Q04	31.704
PRS85006043	1972	Q01	32.512
PRS85006043	1972	Q02	33.43
PRS85006043	1972	Q03	33.821
PRS85006043	1972	Q04	34.446
PRS85006043	1973	Q01	35.768
PRS85006043	1973	Q02	36.174
PRS85006043	1973	Q03	36.079
PRS85006043	1973	Q04	36.026
PRS85006043	1974	Q01	35.798
PRS85006043	1974	Q02	35.8
PRS85006043	1974	Q03	35.3
PRS85006043	1974	Q04	35.037
PRS85006043	1975	Q01	34.209
PRS85006043	1975	Q02	34.454
